1;0:0:12.2095;0:0:82.0453;0:0:89.3694;0:0:89.7038;0:0:172.206;0:0:172.206;
1;0:0:231.196;0:0:291.034;0:0:306.023;0:0:309.192;0:0:405.359;0:0:405.359;
1;0:0:418.517;0:0:527.518;0:0:557.842;0:0:562.843;0:0:635.846;0:0:635.846;
2;0:0:4.27432;0:0:49.7476;0:0:72.0758;0:0:72.0758;0:0:72.0758;0:0:72.0758;
2;0:0:82.076;0:0:153.075;0:0:183.066;0:0:183.066;0:0:183.066;0:0:183.066;
2;0:0:193.231;0:0:279.896;0:0:344.047;0:0:344.379;0:0:434.829;0:0:434.829;
3;0:0:9.76022;0:0:49.3503;0:0:90.1737;0:0:90.8399;0:0:160.993;0:0:160.993;
3;0:0:173.65;0:0:234.489;0:0:245.482;0:0:245.813;0:0:325.818;0:0:325.818;
3;0:0:332.142;0:0:355.315;0:0:373.141;0:0:377.141;0:0:415.644;0:0:415.644;
4;0:0:15.5242;0:0:81.6274;0:0:108.118;0:0:113.95;0:0:181.649;0:0:181.649;
5;0:0:19.0491;0:0:86.5507;0:0:115.209;0:0:177.206;0:0:308.039;0:0:308.039;
5;0:0:343.861;0:0:404.866;0:0:472.686;0:0:541.68;0:0:607.18;0:0:607.18;
6;0:0:16.2639;0:0:158.099;0:0:188.088;0:0:188.088;0:0:188.088;0:0:188.088;
6;0:0:201.422;0:0:275.918;0:0:307.58;0:0:307.914;0:0:372.086;0:0:372.086;
6;0:0:379.911;0:0:427.413;0:0:485.238;0:0:485.238;0:0:485.238;0:0:485.238;
